# DADman User Manual — Translation Glossary
# ─────────────────────────────────────────────────────────────────────────────
# Import this file into:
#   • Crowdin: Project → Terminology → Import (CSV format)
#   • DeepL: Settings → Glossaries → Create glossary (use pairwise columns)
#
# Columns: English, German, French, Japanese, Spanish (LatAm), Korean
# DO NOT TRANSLATE = term is a brand name, acronym, or technical standard;
#                    use the English form in all languages.
#
# Last updated: 2026-06-11
# ─────────────────────────────────────────────────────────────────────────────
English,German,French,Japanese,Spanish (Latinoamérica),Korean,Notes

# ── Brand & product names (DO NOT TRANSLATE) ────────────────────────────────
DADman,DADman,DADman,DADman,DADman,DADman,Brand name — always roman script
Digital Audio Denmark,Digital Audio Denmark,Digital Audio Denmark,Digital Audio Denmark,Digital Audio Denmark,Digital Audio Denmark,Company name
NTP Technology,NTP Technology,NTP Technology,NTP Technology,NTP Technology,NTP Technology,Parent company name
Control|Pack,Control|Pack,Control|Pack,Control|Pack,Control|Pack,Control|Pack,Product name — include pipe character
EuControl,EuControl,EuControl,EuControl,EuControl,EuControl,Avid product name
Pro Tools,Pro Tools,Pro Tools,Pro Tools,Pro Tools,Pro Tools,Avid product name
Avid,Avid,Avid,Avid,Avid,Avid,Company name
Dante,Dante,Dante,Dante,Dante,Dante,Audinate brand — do not translate
MADI,MADI,MADI,MADI,MADI,MADI,Acronym: Multichannel Audio Digital Interface
AES67,AES67,AES67,AES67,AES67,AES67,Standard name
AES3,AES3,AES3,AES3,AES3,AES3,Standard name
ADAT,ADAT,ADAT,ADAT,ADAT,ADAT,Standard name
AX Center,AX Center,AX Center,AX Center,AX Center,AX Center,Product name
AX64,AX64,AX64,AX64,AX64,AX64,Product name
Core 256,Core 256,Core 256,Core 256,Core 256,Core 256,Product name
MOM,MOM,MOM,MOM,MOM,MOM,Product name
DAD Junior,DAD Junior,DAD Junior,DAD Junior,DAD Junior,DAD Junior,Product name
Thunderbolt,Thunderbolt,Thunderbolt,Thunderbolt,Thunderbolt,Thunderbolt,Apple trademark
ASIO,ASIO,ASIO,ASIO,ASIO,ASIO,Steinberg standard acronym
MIDI,MIDI,MIDI,MIDI,MIDI,MIDI,Acronym: Musical Instrument Digital Interface
SPQ,SPQ,SPQ,SPQ,SPQ,SPQ,Feature acronym — do not translate
DADman File (.dms),.dms-Datei,fichier .dms,.dmsファイル,archivo .dms,.dms 파일,File extension always shown as .dms
DADman Profile (.dmprof),.dmprof-Datei,fichier .dmprof,.dmprofファイル,archivo .dmprof,.dmprof 파일,File extension always shown as .dmprof

# ── Signal routing & architecture ───────────────────────────────────────────
routing matrix,Routing-Matrix,matrice de routage,ルーティング マトリクス,matriz de enrutamiento,라우팅 매트릭스,
signal flow,Signalfluss,flux du signal,信号フロー,flujo de señal,신호 흐름,
input,Eingang,entrée,入力,entrada,입력,
output,Ausgang,sortie,出力,salida,출력,
analogue input,Analogeingang,entrée analogique,アナログ入力,entrada analógica,아날로그 입력,
analogue output,Analogausgang,sortie analogique,アナログ出力,salida analógica,아날로그 출력,
digital input,Digitaleingang,entrée numérique,デジタル入力,entrada digital,디지털 입력,
digital output,Digitalausgang,sortie numérique,デジタル出力,salida digital,디지털 출력,
channel,Kanal,canal,チャンネル,canal,채널,
channel strip,Kanalzug,tranche de canal,チャンネル ストリップ,canal de banda,채널 스트립,

# ── Clocking & synchronisation ──────────────────────────────────────────────
clock master,Taktgeber,maître d'horloge,クロック マスター,maestro de reloj,클록 마스터,
clock slave,Taktempfänger,esclave d'horloge,クロック スレーブ,esclavo de reloj,클록 슬레이브,Preferred over "Taktsklave" (DE)
word clock,Worduhr,horloge de mot,ワード クロック,reloj de palabra,워드 클록,
sample rate,Abtastrate,fréquence d'échantillonnage,サンプル レート,frecuencia de muestreo,샘플 레이트,
bit depth,Bittiefe,résolution,ビット深度,profundidad de bits,비트 깊이,
synchronisation,Synchronisation,synchronisation,同期,sincronización,동기화,Use -isation (not -ization) in English

# ── Analogue parameters ──────────────────────────────────────────────────────
